236269-RN01	236271-RN01	236272-RN01	236273-RN01	236274-RN01	236275-RN01	236276-RN01	236277-RN01	236278-RN01	236279-RN01	236280-RN01	236281-RN01	236282-RN01	236283-RN01	236284-RN01
T cells	9.30631086243564	7.50396503391811	6.72327261117965	8.6673909886758	5.51504040515441	8.38940597807254	6.79372386969081	5.68118081273982	5.66670191148864	6.82728988448578	6.78517132335796	6.66255612586698	8.33561250089051	6.41689482666397	6.63005107153583
CD8 T cells	6.06123613100679	5.67276716039319	6.23667826089433	7.6693806288777	5.77794307826688	5.4264332272608	5.08348777937796	5.08008757521114	4.4180166705479	5.12895006445766	4.77868661280721	4.92523905446481	6.07353316781953	5.02791697576564	4.70588750266687
Cytotoxic lymphocytes	7.40946988919432	6.97762406427784	5.53864454491629	7.74143789585725	5.62254197634697	5.64871139733514	7.4490427339758	6.06984936829918	5.03992633099578	5.96388809275237	5.31408693871424	5.98998685769636	7.93824775650463	5.87756108489877	6.35243284869695
B lineage	6.55477559624905	5.72080489661144	5.03432162616107	6.38453657627232	5.34608113562045	6.75709432194316	5.71699907584207	4.95631802083571	4.9472177383331	6.44506533860329	5.6578234264825	5.77889185258818	6.22004389088967	5.31368786156816	5.59815130768064
NK cells	6.17588565634678	5.65252204472025	5.12105181326658	6.28276996546608	5.19862944249981	5.39547098814716	5.65364407668585	5.15501482582567	5.63297661350855	5.61987042123496	5.83708470316852	5.83132087966428	6.74300427796794	5.21248443761938	5.67373828925476
Monocytic lineage	13.3668961803675	10.4915057341457	9.11659836831111	12.0231086892397	8.39311062567561	11.0893125248245	8.37011041420775	8.74763146916176	9.46085596532939	9.44757275793218	9.86011356397957	11.5032241194876	12.218069671864	9.90958793125701	9.33506846005716
Myeloid dendritic cells	7.11719148960177	5.24206180589637	4.6708811484644	6.33480238679698	4.98646062535832	10.4535363954992	4.73020193721581	4.72724863734864	5.31305953129392	5.10469534229079	5.47149274028694	6.27265672189447	6.65845647697811	4.87763544204181	5.49541379018249
Neutrophils	8.71220992219295	7.35943182457662	7.68102935474998	8.52583983397511	7.17364831667473	9.26630864369308	7.84546598216297	9.11354977768318	8.71515170416559	8.74312911480287	8.27356917404345	8.08887517300305	8.30960947809098	8.42769036060759	8.5785382458418
Endothelial cells	11.0898471937787	9.3570807652625	9.26509509260568	8.74846983103983	9.74267841885549	10.7726935033038	9.38939399455526	9.04573270297749	9.62293663168164	9.68122791676049	9.26654831859853	9.56433973510499	9.20370900824617	9.27663513356729	9.16604617931031
Fibroblasts	14.9395481867452	12.3935431855932	12.5578369339006	11.0738569004196	11.3364057893479	13.0859309601857	11.0751375313233	11.4363044707193	13.650943607197	12.3796622481696	12.1294571738802	12.6266368030737	12.9230465596026	12.3978519019916	11.9048665470243
